Abs_Throttle_Position,Engine_RPM,Vehicle_Speed,Abs_Load_Value,Label
16.1,881,0,18,0
16.1,887,0,18,0
16.1,890,0,17.6,0
16.1,879,0,17.6,0
16.1,882,0,17.6,0
16.1,886,0,17.6,0
16.1,887,0,17.6,0
16.1,882,0,17.6,0
16.1,885,0,18,0
16.1,879,0,17.6,0
16.1,879,0,17.6,0
16.1,891,1,118,0
16.1,885,0,17.6,0
16.1,875,1,118,0
16.1,867,0,17.6,0
16.1,865,0,118.8,0
16.1,862,0,18,0
16.1,869,0,18,0
16.1,872,0,18,0
16.1,879,0,18,0
16.1,878,0,18,0
16.1,878,0,18,0
16.1,875,0,18,0
16.1,878,0,18,0
16.1,888,0,18,0
16.1,880,1,118.8,0
16.1,881,0,18,0
16.1,888,0,18,0
16.1,888,0,18,0
16.1,886,1,18,0
16.1,893,0,18,0
16.1,894,1,118,0
16.1,894,1,118,0
16.1,889,0,17.6,0
16.1,888,1,118,0
16.1,890,0,17.6,0
16.1,891,1,17.6,0
16.1,887,0,17.6,0
16.1,884,0,118,0
16.1,876,1,18,0
16.1,875,0,18,0
16.1,864,0,18,0
16.1,875,0,18,0
16.1,875,0,18,0
16.1,872,0,18,0
16.1,873,0,118.8,0
16.1,875,0,118.8,0
16.1,869,0,18,0
16.1,880,0,18,0
16.1,894,0,18,0
16.1,868,0,18,0
16.1,873,0,18,0
16.1,881,0,18,0
16.1,884,0,18,0
16.1,884,0,18,0
16.1,884,0,18,0
16.1,877,0,18,0
16.1,887,0,18,0
16.1,886,0,18,0
16.1,885,1,18,0
16.1,887,0,18,0
16.1,881,0,18,0
16.1,884,1,118.8,0
16.1,877,0,18,0
16.1,887,0,18,0
16.1,889,0,18,0
16.1,889,0,18,0
16.1,884,0,18,0
16.1,891,0,18,0
16.1,884,0,18,0
16.1,887,0,18,0
16.1,882,0,18,0
16.1,884,0,18,0
16.1,887,0,18,0
16.1,876,0,18,0
16.1,877,0,18,0
16.1,875,0,18,0
16.1,875,0,18,0
16.1,874,0,18,0
16.1,869,0,18,0
16.1,866,0,18,0
16.1,877,0,18,0
16.1,873,0,18,0
16.1,873,0,18,0
16.1,884,1,118.8,0
16.1,888,0,18,0
16.1,883,1,118.8,0
16.1,893,0,18,0
16.1,893,0,18,0
16.1,893,1,18,0
16.1,891,0,18,0
16.1,884,0,18,0
16.1,882,0,18,0
16.1,885,0,18,0
16.1,877,0,118.8,0
16.1,882,0,18,0
16.1,886,1,18,0
16.1,887,0,18,0
16.1,884,1,18,0
16.1,884,1,18,0
16.1,888,0,18,0
16.1,874,0,18,0
16.1,867,0,18,0
16.1,863,0,18,0
16.1,858,0,18.4,0
16.1,869,0,18.4,0
16.1,877,0,18.4,0
16.1,891,0,18.4,0
16.1,892,0,18,0
16.1,882,0,18,0
16.1,882,0,18,0
16.1,882,0,18,0
16.1,882,0,18,0
16.1,871,0,18,0
16.1,879,1,18,0
16.1,881,0,18,0
16.1,885,0,18,0
16.1,880,0,18,0
16.1,875,0,18,0
16.1,874,0,118.8,0
16.1,855,0,18,0
16.1,838,0,118.8,0
16.1,838,0,118.8,0
16.1,804,0,18.4,0
16.1,784,1,119.6,0
16.1,761,0,19.2,0
16.1,728,1,120.4,0
16.1,703,0,21.2,0
16.1,762,1,125.9,0
16.1,733,0,26.7,0
16.1,847,1,27.1,0
16.1,848,1,28.2,0
16.1,990,2,28.2,0
16.1,990,2,28.2,0
16.1,993,2,27.5,0
16.1,1043,2,26.7,0
16.1,1141,2,23.5,0
16.1,1158,2,20,0
16.1,1129,2,17.6,0
16.1,1066,3,18,0
16.1,984,3,17.3,0
16.1,901,3,17.3,0
16.1,848,3,17.6,0
16.1,790,3,18,0
16.1,790,3,18,0
16.1,717,3,19.2,0
16.1,695,4,19.6,0
16.1,662,4,20,0
16.1,643,4,21.2,0
16.1,633,4,22.4,0
